ID,Name,SMILES,MW,LogP,HBD,HBA,TPSA,RotB,GI absorption,Plant,Source
LIG_0188,,SCc1cnccn1,126.18,0.91,1,3,25.78,1,Unknown,Natural Product,COCONUT
LIG_0189,,N=C[C@H]1c2ccccc2-c2ncccc21,194.24,2.84,1,2,36.74,1,Unknown,Natural Product,COCONUT
LIG_0190,,CC1(C)c2ccccc2N[C@H]1C(N)=O,190.25,1.24,2,2,55.12,1,Unknown,Natural Product,COCONUT
LIG_0191,,C[C@@]1(O)C=CCCC1,112.17,1.48,1,1,20.23,0,Unknown,Natural Product,COCONUT
LIG_0192,,OC1CCCCCCCCC1,156.27,2.87,1,1,20.23,0,Unknown,Natural Product,COCONUT
LIG_0193,,[N]=c1ccn(CC(N)=O)c2ccccc12,200.22,-0.17,1,1,70.32,2,Unknown,Natural Product,COCONUT
LIG_0194,,O=[N+]([O-])N1C=CCC1,114.1,0.4,0,2,46.38,1,Unknown,Natural Product,COCONUT
LIG_0195,,CCCCCC[C@H](C)C=O,142.24,2.79,0,1,17.07,6,Unknown,Natural Product,COCONUT
LIG_0196,,CC(C)[C@@H]1NC(=O)[C@H]2CCCN2C1=O,196.25,0.13,1,2,49.41,1,Unknown,Natural Product,COCONUT
LIG_0197,,CC1=CC(=O)O[C@H]1CO,128.13,-0.15,1,3,46.53,1,Unknown,Natural Product,COCONUT
LIG_0198,,O=C(O)C[C@]1(C(=O)O)O[C@H]1C(=O)O,190.11,-1.23,3,4,124.43,4,Unknown,Natural Product,COCONUT
LIG_0199,,C[S](C)CCC(=O)O,135.21,0.99,1,1,37.3,3,Unknown,Natural Product,COCONUT
LIG_0200,,O=C1CCNc2c1c[nH+]c1ccccc21,199.23,1.65,1,2,43.24,0,Unknown,Natural Product,COCONUT
LIG_0201,,CCCCCCCC[C@@H](O)C(=O)O,188.27,2.18,2,2,57.53,8,Unknown,Natural Product,COCONUT
LIG_0202,,CCOC(CCSC)OCC,178.3,2.14,0,3,18.46,7,Unknown,Natural Product,COCONUT
LIG_0203,,Oc1ccc2nncc-2[nH]1,135.13,0.62,2,3,61.8,0,Unknown,Natural Product,COCONUT
LIG_0204,,O=C(O)C1=NC=COC1,127.1,0.01,1,3,58.89,1,Unknown,Natural Product,COCONUT
LIG_0205,,Nc1ncnc2[nH]c(O)nc12,151.13,-0.36,3,5,100.71,0,Unknown,Natural Product,COCONUT
LIG_0206,,Oc1ccc2c(c1)OCO2,138.12,1.12,1,3,38.69,0,Unknown,Natural Product,COCONUT
LIG_0207,,Cc1ccc2ccccc2c1C,156.23,3.46,0,0,0.0,0,Unknown,Natural Product,COCONUT
